Date,Collimator Current (µA) ,Stripper Current (µA),Extraction Ratio (%),Transmission Ratio (%),Stripper Angle (°),Vacuum During Beam On (mbar),Total Run Time (min),Target Activity while Uploading (mci),Final FDG Activity (mci)
02.01.23,6.1,56.2,89.2,40,89.6,1.30E-07,60,3394,1559
04.01.23,6.5,56.3,89.1,40,89.7,1.10E-07,61,3307,1886
09.01.23,5.5,55.8,90,31.6,89.5,1.20E-07,61,3470,1732
11.01.23,5.78,56.7,89.5,30.5,89.5,1.10E-07,117,3368,1527
16.01.23,6.01,56.9,89.5,28,89.5,2.90E-06,63,3566,1670
18.01.23,5.49,55.12,90,34,89.5,1.70E-07,82,3366,1506
23.01.23,5.3,55.5,90.3,33.3,89.6,3.40E-06,59,3330,1764
25.01.23,5.49,56.5,90,31.7,89.5,3.40E-06,72,3404,1353
30.01.23,5.32,55.9,90.8,29.2,89.5,1.70E-07,60,3422,1726
01.02.23,5.32,56.04,90,27.32,89.5,3.20E-06,57,3168,738
06.02.23,5.14,51,89.6,41.4,89.7,1.70E-07,61,3191,641
08.02.23,5.5,56.5,90,42,89.6,1.00E-07,65,3603,1163
13.02.23,5.6,56.2,89.8,40,89.6,1.20E-07,65,3530,1496
15.02.23,6.07,51,88.12,43,89.8,3.00E-06,72,3373,1783
20.02.23,7.05,48.7,85.2,42.3,91.6,1.30E-07,76,3220,1704
22.02.23,3.41,38.12,91,37.7,90.7,2.50E-06,91,3155,408
03.03.23,5,61,91,34,90.7,1.10E-07,43,2826,1084
20.03.23,7.42,61.8,87,30,-101.8,9.20E-08,70,4000,52
21.03.23,7,61,87,42,-100.5,9.00E-08,48,2790,830
22.03.23,5.95,61.56,90,37,91.7,2.60E-06,61,3687,1429
27.03.23,5.7,61.3,90.4,37,91,1.20E-07,60,3730,1730
29.03.23,5.78,61.49,90.4,34,90.8,1.70E-06,55,3355,1337
12.04.23,7.36,64,88,32,-100.3,6.30E-08,54,3248,1440
17.04.23,7.88,65.7,87,31.3,-101.8,9.00E-08,61,3625,2455
30.04.23,0,57,100,34,91.6,1.10E-07,51,2950,965
03.05.23,6.7,62.8,88.6,33.4,91.9,8.00E-08,60,3543,1120
08.05.23,9.04,61.7,84,30,103,1.20E-07,75,4021,2034
10.05.23,6,58,89,24,90.6,6.90E-08,65,3630,1449
15.05.23,2.72,51.98,95.5,35.5,-99.1,1.60E-07,69,3487,803
17.05.23,6.5,62.9,89,33,-100.7,8.80E-08,60,3718,2460
22.05.23,8.7,66,86,30.45,-100.8,1.20E-07,70,3900,1491
24.05.23,7,64,88.5,31,-100.7,1.00E-07,62,3584,2425
29.05.23,0.63,58.3,99.9,40,-106.4,2.10E-07,60,3582,2089
31.05.23,0.09,66.65,99.84,27.6,-104.2,7.80E-07,64,3345,1938
05.06.23,0.03,59.78,99.9,29,-101.4,1.20E-07,54,3378,1988
07.06.23,0.09,60.7,99.95,40,-102.2,1.10E-07,58,3750,2064
12.06.23,7,63,90,27,-103.2,1.20E-07,61,3580,2026
14.06.23,0.03,57.7,99.95,29.9,-102.8,2.40E-06,61,3610,2225
19.06.23,2,62,99.95,26.7,-102.8,1.20E-07,47,3200,2070
17.07.23,5,50,89,40,-101.9,1.10E-07,55,3000,1705
19.07.23,2.57,48.56,98,33.47,-102.2,2.10E-07,66,3349,2075
24.07.23,0.72,50.09,98.7,32,-102.8,3.10E-07,77,3700,2002
26.07.23,0.09,53.07,99,33.7,-102.8,3.10E-07,71,3716,1957
31.07.23,3.03,54,99.8,30.3,-102.8,2.10E-07,68,3620,1955
02.08.23,0.09,54,99.8,32.5,-102.8,2.10E-07,70,3797,2055
07.08.23,3,53,99.8,30,-102.8,3.10E-07,71,3788,2347
09.08.23,1.01,53.09,99.6,32.6,-102.8,3.10E-07,70,3716,2345
14.08.23,2.2,50,93,32,-102.8,2.80E-07,71,3740,2411
16.08.23,0.14,54.6,99,28.55,-102.8,2.80E-07,70,3849,2210
21.08.23,4,53,99.45,27.45,-102.8,2.80E-07,70,3773,2210
23.08.23,5,55,90.8,28.21,-102.8,3.10E-07,71,3353,2210
28.08.23,4.5,55,91.3,29.2,-102.8,3.10E-07,66,3650,1818
30.08.23,6.9,58.1,87.8,24.26,-102.8,3.10E-07,53,2865,1432
09.09.23,0.03,51.93,99.94,35,-102.8,2.70E-07,55,2933,1477
11.09.23,0.03,53.37,99.94,31.6,-102.8,3.10E-07,70,3822,1898
13.09.23,1.12,53.15,99.94,33.96,-102.8,5.60E-07,69,3648,1823
18.09.23,1.23,53.29,99.12,33.54,-102.8,2.70E-07,71,3683,1929
20.09.23,0.3,53.2,99.94,31.07,-102.8,2.10E-07,70,3767,2117
25.09.23,6.84,58.25,87.9,39,-102.8,2.10E-07,70,3703,2085
27.09.23,5.45,56.6,98,33,-102.8,2.10E-07,71,3617,2090
02.10.23,0.09,52.2,99.94,35.48,-102.8,2.50E-07,71,3750,1770
04.10.23,0.03,53.29,99.94,30.5,-102.8,2.10E-07,71,3793,1855
09.10.23,4.82,55.7,91.3,32.61,-102.8,2.40E-07,72,3781,1875
11.10.23,4.76,55.33,91.27,31,-102.8,2.70E-06,65,3629,1777
12.10.23,6.73,53.29,87.2,34.6,-102.8,2.10E-07,37,2029,908.5
16.10.23,6.04,58.46,89.36,31.72,-102.8,2.10E-07,70,3802,2004
18.10.23,5.57,57.59,90,33.2,-102.8,4.10E-07,61,3358,1671
23.10.23,2.1,55,90,30,-102.8,4.30E-07,77,4100,2137
25.10.23,3.44,54.97,93.55,32.33,-102.8,3.70E-07,95,4409,1592
30.10.23,4.2,54.5,91,32,-102.1,2.30E-07,70,3571,1887
01.11.23,5.52,57.01,90.09,31.76,-101,2.10E-07,71,3773,2097
06.11.23,4.8,54.8,90,30,-102.8,2.80E-07,74,3820,1930
08.11.23,4.48,55.04,91.6,32.33,-102.8,2.20E-07,70,3729,2025
09.11.23,5.4,56.28,90.26,31.54,-102.8,2.10E-07,65,3545,1820
13.11.23,3.26,40.38,93,25.6,-102.8,2.50E-07,80,3800,2197
15.11.23,5,55.62,90.84,30.12,-102.8,2.20E-07,70,3781,2037
16.11.23,5.17,55.33,90.35,31.8,-102.8,2.40E-07,88,4108,1875
18.12.23,5.34,56.72,90.46,31.54,87.9,4.10E-07,70,3850,2070
20.12.23,4.91,55.54,91,27.8,90.5,5.10E-07,69,3716,1775
21.12.23,5.09,55.54,90.75,31.5,92.7,5.70E-07,26,1554,715
26.12.23,6.18,56.55,89,26.93,90.8,3.60E-07,72,3613,1227
27.12.23,6,55,88.89,25.2,90.4,5.30E-07,68,3779,1689
01.01.24,5.57,57,89.88,27,88.4,5.80E-07,70,3750,1995
03.01.24,3.55,54.68,93.5,25.53,90,5.50E-07,70,3763,2205
04.01.24,6.3,56.4,88.8,24,89,5.30E-07,46,2595,1180
09.01.24,10,62,83.4,22.7,87.8,6.10E-07,54,2941,1656
11.01.24,5.75,56.79,89.75,26.61,90,5.30E-07,65,3564,1926
15.01.24,5.95,55.32,89.25,21.05,88.9,5.20E-07,71,3841,1395
17.01.24,6.07,54.6,89.07,20.2,89.9,5.10E-07,70,3626,1250
22.01.24,5.28,56.3,90.43,28,90,6.10E-07,69,3775,2145
24.01.24,5.52,56.7,90.03,43.99,87.9,5.20E-07,68,3714,2270
29.01.24,5.52,56.5,90,40,89.8,3.70E-07,66,3571,2235
31.01.24,5.4,57.23,90.44,40.39,89,1.80E-07,70,3774,1738